βmax,βmin,N
0.0,0.0,1000
0.1,0.0,950
0.2,0.0,947
0.3,0.0,947
0.4,0.0,922
0.5,0.0,920
0.6,0.0,923
0.7,0.0,876
0.8,0.0,863
0.9,0.0,838
1.0,0.0,819
0.1,0.1,945
0.2,0.1,944
0.3,0.1,929
0.4,0.1,919
0.5,0.1,917
0.6,0.1,865
0.7,0.1,849
0.8,0.1,822
0.9,0.1,815
1.0,0.1,809
0.2,0.2,946
0.3,0.2,918
0.4,0.2,893
0.5,0.2,864
0.6,0.2,860
0.7,0.2,825
0.8,0.2,813
0.9,0.2,807
1.0,0.2,807
0.3,0.3,876
0.4,0.3,857
0.5,0.3,834
0.6,0.3,833
0.7,0.3,821
0.8,0.3,785
0.9,0.3,784
1.0,0.3,790
0.4,0.4,869
0.5,0.4,815
0.6,0.4,815
0.7,0.4,805
0.8,0.4,788
0.9,0.4,779
1.0,0.4,763
0.5,0.5,812
0.6,0.5,804
0.7,0.5,790
0.8,0.5,783
0.9,0.5,758
1.0,0.5,765
0.6,0.6,793
0.7,0.6,775
0.8,0.6,753
0.9,0.6,757
1.0,0.6,747
0.7,0.7,758
0.8,0.7,762
0.9,0.7,750
1.0,0.7,749
0.8,0.8,747
0.9,0.8,743
1.0,0.8,728
0.9,0.9,721
1.0,0.9,736
1.0,1.0,691
